"ContractLocation","VendorFolder","Filename","FilePath","Extension","FileCreatedDate","DocType","HasSignedKeyword","SigningStatus","IsAmendment","AmendmentNumber","VersionLabel","DateInFilename","CounterpartyName","EffectiveDate","ExpirationDate","Notes"
"01 Active Contracts","General Mechanical Services Inc","General Mechanical Services Inc_NDA_Signed.pdf","General Mechanical Services Inc/General Mechanical Services Inc_NDA_Signed.pdf",".pdf","2026-05-15","MNDA","True","Signed","False","","","","General Mechanical Services Inc","2026-05-15","",""
"01 Active Contracts","Genesco","Genesco DCS MNDA 08.31.23.pdf","Genesco/Genesco DCS MNDA 08.31.23.pdf",".pdf","2026-03-06","MNDA","False","Signed","False","","","08.31.23","Genesco","2026-03-06","",""
"01 Active Contracts","Golden Goose","DCS Vendor Mutual NDA to Golden Goose AI LLC - signed 8.6.2025.pdf","Golden Goose/DCS Vendor Mutual NDA to Golden Goose AI LLC - signed 8.6.2025.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","8.6.2025","Golden Goose","2026-01-14","",""
"01 Active Contracts","GreyOrange","GreyOrangeMutual_NDA_2023_ DCS Signed3_6_23.pdf","GreyOrange/GreyOrangeMutual_NDA_2023_ DCS Signed3_6_23.pdf",".pdf","2026-05-15","MNDA","True","Signed","False","","","","GreyOrange","2026-05-15","",""
"01 Active Contracts","GT Electric","DCS Vendor Mutual NDA to GT Electric - signed 11.27.2024.pdf","GT Electric/DCS Vendor Mutual NDA to GT Electric - signed 11.27.2024.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","11.27.2024","GT Electric","2026-01-14","",""
"01 Active Contracts","HAI Robotics","Mutual NDA- HAI RoboticsREV1 - signed.pdf","HAI Robotics/Mutual NDA- HAI RoboticsREV1 - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","REV1","","HAI Robotics","2026-01-14","",""
"01 Active Contracts","HCL","HCL DCS CUSTOMER Mutual NDA 03.02..26 - signed.pdf","HCL/HCL DCS CUSTOMER Mutual NDA 03.02..26 - signed.pdf",".pdf","2026-03-05","MNDA","True","Signed","False","","","","HCL","2026-03-05","",""
"01 Active Contracts","HEMI","Mutual NDA- HEMI - signed.pdf","HEMI/Mutual NDA- HEMI - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","HEMI","2026-01-14","",""
"01 Active Contracts","Henkel","Henkel-Designed Conveyor Systems-NDA-Draft.06.15.2020.pdf","Henkel/Henkel-Designed Conveyor Systems-NDA-Draft.06.15.2020.pdf",".pdf","2026-01-14","NDA","True","Signed","False","","Draft","06.15.2020","Henkel","2026-01-14","",""
"01 Active Contracts","Hunter Douglas","Hunter Douglas NON-DISCLOSURE AGREEMENT - signed.pdf","Hunter Douglas/Hunter Douglas NON-DISCLOSURE AGREEMENT - signed.pdf",".pdf","2026-05-16","MNDA","True","Signed","False","","","","Hunter Douglas","2026-05-16","",""
